student,degree,act,scholarship,ap_courses,first_gen,non_traditional
620,Yes,25,1,23,Yes,No
621,Yes,24,0,0,No,No
622,Yes,29,0,0,Yes,No
623,Yes,21,1,0,Yes,No
624,Yes,25,0,0,Yes,No
625,No,22,0,0,No,No
626,No,30,0,0,Yes,No
627,Yes,30,0,19,Yes,No
628,Yes,29,0,0,Yes,No
629,No,19,0,0,No,No
630,Yes,28,0,4,Yes,No
631,Yes,31,0,4,Yes,No
632,Yes,21,0,0,Yes,No
633,Yes,23,0,0,No,No
634,No,26,0,0,Yes,No
635,Yes,26,0,13,Yes,No
636,Yes,26,0,0,Yes,No
637,Yes,29,0,0,Yes,No
638,Yes,19,0,0,No,No
639,No,28,0,0,Yes,No
640,Yes,27,0,0,Yes,No
641,Yes,25,0,0,Yes,No
642,Yes,23,0,0,No,No
643,Yes,26,0,13,Yes,No
644,No,19,0,0,Yes,No
645,No,14,0,0,Yes,No
646,Yes,25,0.5,8,Yes,No
647,Yes,22,0,0,Yes,No
648,No,27,0,0,No,No
649,Yes,23,0,0,Yes,No
650,Yes,27,1.5,4,Yes,No
651,No,31,0,0,No,No
652,Yes,18,0,0,No,No
653,No,17,0,0,No,No
654,Yes,34,4,4,Yes,No
655,Yes,23,0,0,Yes,No
656,No,17,0,0,Yes,No
657,Yes,23,1,4,Yes,No
658,Yes,22,0,6,Yes,No
659,Yes,29,1.5,8,Yes,No
660,Yes,24,0,0,No,No
661,Yes,23,0,0,Yes,No
662,No,17,0,0,No,No
663,Yes,26,0,0,Yes,No
664,Yes,22,0,0,No,No
665,Yes,26,0,0,Yes,No
666,Yes,24,0,0,Yes,No
667,Yes,23,0,0,Yes,No
668,No,12,0,0,No,No
669,Yes,27,0.5,0,Yes,No
670,Yes,31,0,12,Yes,No
671,Yes,21,0,0,No,No
672,No,23,0,0,Yes,No
673,No,33,0,4,Yes,No
674,No,23,0,0,No,No
675,Yes,27,1.5,4,Yes,No
676,Yes,30,0,11,No,No
677,Yes,20,0,0,Yes,No
678,No,23,0,0,Yes,No
679,Yes,30,0,8,Yes,No
680,No,20,0,0,No,No
681,Yes,23,0,0,No,No
682,No,14,0,0,No,No
683,Yes,27,0,0,Yes,No
684,Yes,28,0,0,Yes,No
685,No,25,0,0,Yes,No
686,Yes,28,0,12,Yes,No
687,No,26,0,0,Yes,No
688,Yes,27,0,0,Yes,No
689,No,24,0,0,No,No
690,No,25,0,4,No,No
691,Yes,22,0,0,Yes,No
692,Yes,27,2.5,4,Yes,No
693,No,27,0,6,Yes,No
694,Yes,32,1.5,4,Yes,No
695,Yes,26,0,21,Yes,No
696,No,28,0,10,Yes,No
697,No,24,0,0,Yes,No
698,Yes,29,0,12,No,No
699,Yes,25,0,0,Yes,No
700,Yes,21,0,0,Yes,No
701,Yes,14,0,0,No,No
702,No,17,0,0,No,No
703,Yes,25,0,0,Yes,No
704,Yes,30,0,4,Yes,No
705,No,18,0,0,No,No
706,Yes,24,0,0,No,No
707,Yes,30,1.5,0,Yes,No
708,No,27,0,0,Yes,No
709,Yes,25,0,0,Yes,No
710,Yes,26,0,7,No,No
711,Yes,27,0,0,Yes,No
712,Yes,23,1.5,0,Yes,No
713,Yes,18,0,0,Yes,No
714,Yes,25,0,8,No,No
715,No,23,0,0,No,No
716,Yes,23,0,0,No,No
717,Yes,25,0,0,No,No
718,Yes,30,0.5,15,Yes,No
719,No,21,0,0,Yes,No
720,Yes,19,0,0,No,No
721,Yes,19,0,4,Yes,No
722,Yes,21,0,0,Yes,No
723,No,15,0,0,Yes,No
724,Yes,26,0,0,Yes,No
725,No,29,0,4,Yes,No
726,Yes,30,0,0,Yes,No
727,Yes,20,0,0,No,No
728,Yes,23,0,0,No,No
